experiment,level,model_family,scope,trained_asset,Asset,Period,model,n_obs,rmse,mae,qlike,actual_mean,prediction_mean,qlike_rank,rmse_rank,mae_rank
ML_Rolling,by_period,ML,asset_specific_rolling,XLF,XLF,post_crisis,GradientBoosting,880,6.3705292184379845,3.8110290556094633,38660.088303393095,2.872589686305472,4.193228675127725,12,10,21
ML_Rolling,by_period,ML,asset_specific_rolling,XLF,XLF,post_crisis,LightGBM,880,6.309269964313549,3.5984994171524174,85299.97594759223,2.872589686305472,3.911331874070594,13,9,19
ML_Strict_PreCrisis,by_period,ML,pooled,ALL,XLF,post_crisis,GradientBoosting,880,6.592468381402916,2.638695033150303,114531.32110379738,2.872589686305472,0.8857387361734398,14,15,1
ML_Strict_PreCrisis,by_period,ML,pooled,ALL,XLF,post_crisis,XGBoost,880,6.515067109034643,2.651863032237413,1275466.59091446,2.872589686305472,1.0445182016716514,15,11,4
ML_Strict_PreCrisis,by_period,ML,asset_specific,XLF,XLF,post_crisis,XGBoost,880,6.585331623026611,2.7272592949926593,3620025.335756978,2.872589686305472,0.9762498867647984,16,14,7
ML_Strict_PreCrisis,by_period,ML,asset_specific,XLF,XLF,post_crisis,LightGBM,880,6.663911042678033,2.7030219758068617,11479305.842159469,2.872589686305472,0.8177021918912933,17,17,6
ML_Strict_PreCrisis,by_period,ML,asset_specific,XLF,XLF,post_crisis,GradientBoosting,880,6.611139324578643,2.7396705938776944,12397560.410761038,2.872589686305472,0.953751683381174,18,16,8
ML_Strict_PreCrisis,by_period,ML,pooled,ALL,XLF,post_crisis,LightGBM,880,6.664865618525338,2.6855123567235575,19142536.995278686,2.872589686305472,0.7832649373815278,19,18,5
ML_Rolling,by_period,ML,asset_specific_rolling,XLF,XLF,post_crisis,Ridge,880,7.39381527075162,3.714491649587485,64285204.82520347,2.872589686305472,3.3066759603434157,20,22,20
ML_Strict_PreCrisis,by_period,ML,pooled,ALL,XLF,post_crisis,Ridge,880,6.878643845611763,2.8208474931623,193332732.05748868,2.872589686305472,0.3297355451070163,21,20,9
ML_Strict_PreCrisis,by_period,ML,asset_specific,XLF,XLF,post_crisis,Ridge,880,6.921676182425364,2.8452894254559675,218316672.15280005,2.872589686305472,0.2712129526343792,22,21,10
