Asset,scope,model,feature,importance,importance_window_end
SPY,asset_specific_rolling,Ridge,rolling_downside_squared_return_66d,0.10058934427062176,2012-12-27
SPY,asset_specific_rolling,Ridge,rolling_volatility_22d,0.07606022209975188,2012-12-27
SPY,asset_specific_rolling,Ridge,rolling_abs_return_22d,0.06400156612501998,2012-12-27
SPY,asset_specific_rolling,Ridge,rolling_volatility_5d,0.06011218240089266,2012-12-27
SPY,asset_specific_rolling,Ridge,squared_return_lag_1,0.05877540937114127,2012-12-27
SPY,asset_specific_rolling,Ridge,rolling_abs_return_5d,0.05429345750450742,2012-12-27
SPY,asset_specific_rolling,Ridge,negative_squared_return_t,0.04849259266169393,2012-12-27
SPY,asset_specific_rolling,Ridge,rolling_downside_squared_return_5d,0.047621520212794505,2012-12-27
SPY,asset_specific_rolling,Ridge,squared_return_lag_3,0.047075606600415376,2012-12-27
SPY,asset_specific_rolling,Ridge,abs_return_lag_3,0.03252798500720847,2012-12-27
SPY,asset_specific_rolling,Ridge,abs_return_lag_1,0.03241436113135596,2012-12-27
SPY,asset_specific_rolling,Ridge,return_t,0.03171364041048355,2012-12-27
SPY,asset_specific_rolling,Ridge,rolling_sum_squared_return_66d,0.02862247579417971,2012-12-27
SPY,asset_specific_rolling,Ridge,rolling_mean_squared_return_66d,0.02862247579416826,2012-12-27
SPY,asset_specific_rolling,Ridge,squared_return_t,0.028345357513468398,2012-12-27
SPY,asset_specific_rolling,Ridge,rolling_downside_squared_return_22d,0.025820905346806425,2012-12-27
SPY,asset_specific_rolling,Ridge,rolling_volatility_66d,0.025143104951717826,2012-12-27
SPY,asset_specific_rolling,Ridge,rolling_abs_return_66d,0.021784342603657934,2012-12-27
SPY,asset_specific_rolling,Ridge,rolling_mean_squared_return_22d,0.02099684585770713,2012-12-27
SPY,asset_specific_rolling,Ridge,rolling_sum_squared_return_22d,0.02099684585768913,2012-12-27
SPY,asset_specific_rolling,Ridge,abs_return_t,0.020634761258741353,2012-12-27
SPY,asset_specific_rolling,Ridge,rolling_sum_squared_return_5d,0.019082763901314432,2012-12-27
SPY,asset_specific_rolling,Ridge,rolling_mean_squared_return_5d,0.0190827639013073,2012-12-27
SPY,asset_specific_rolling,Ridge,return_lag_5,0.015288736238971739,2012-12-27
SPY,asset_specific_rolling,Ridge,negative_return_dummy_t,0.013759254577362715,2012-12-27
SPY,asset_specific_rolling,Ridge,abs_return_lag_2,0.010577519564357377,2012-12-27
SPY,asset_specific_rolling,Ridge,squared_return_lag_2,0.009876581719898803,2012-12-27
SPY,asset_specific_rolling,Ridge,return_lag_1,0.009125189837858065,2012-12-27
SPY,asset_specific_rolling,Ridge,abs_return_lag_5,0.007541229491550654,2012-12-27
SPY,asset_specific_rolling,Ridge,rolling_negative_share_22d,0.0067348191887788835,2012-12-27
SPY,asset_specific_rolling,Ridge,squared_return_lag_10,0.004263977052561225,2012-12-27
SPY,asset_specific_rolling,Ridge,return_lag_3,0.003226045073164661,2012-12-27
SPY,asset_specific_rolling,Ridge,squared_return_lag_5,0.003035360605187576,2012-12-27
SPY,asset_specific_rolling,Ridge,rolling_negative_share_5d,0.00254813737436733,2012-12-27
SPY,asset_specific_rolling,Ridge,rolling_negative_share_66d,0.0006431311510658407,2012-12-27
SPY,asset_specific_rolling,Ridge,return_lag_2,0.0005694875482304192,2012-12-27
SPY,asset_specific_rolling,Ridge,crisis_dummy,0.0,2012-12-27
SPY,asset_specific_rolling,Ridge,post_crisis_dummy,0.0,2012-12-27
SPY,asset_specific_rolling,Ridge,negative_x_crisis,0.0,2012-12-27
SPY,asset_specific_rolling,Ridge,negative_squared_x_crisis,0.0,2012-12-27
SPY,asset_specific_rolling,RandomForest,rolling_downside_squared_return_22d,0.18196669139266808,2012-12-27
SPY,asset_specific_rolling,RandomForest,abs_return_lag_1,0.09853489362019067,2012-12-27
SPY,asset_specific_rolling,RandomForest,return_lag_1,0.09541068951539199,2012-12-27
SPY,asset_specific_rolling,RandomForest,rolling_downside_squared_return_5d,0.09424753593533178,2012-12-27
SPY,asset_specific_rolling,RandomForest,rolling_downside_squared_return_66d,0.07498993611785235,2012-12-27
SPY,asset_specific_rolling,RandomForest,rolling_abs_return_22d,0.06408998844917238,2012-12-27
SPY,asset_specific_rolling,RandomForest,squared_return_lag_1,0.05875519267058147,2012-12-27
SPY,asset_specific_rolling,RandomForest,return_lag_5,0.03976926793467107,2012-12-27
SPY,asset_specific_rolling,RandomForest,rolling_negative_share_66d,0.0365281477515959,2012-12-27
SPY,asset_specific_rolling,RandomForest,rolling_abs_return_66d,0.024268936833663147,2012-12-27
SPY,asset_specific_rolling,RandomForest,rolling_volatility_66d,0.021760520936911085,2012-12-27
SPY,asset_specific_rolling,RandomForest,rolling_mean_squared_return_5d,0.019282283675178136,2012-12-27
SPY,asset_specific_rolling,RandomForest,rolling_negative_share_22d,0.01710879052561793,2012-12-27
SPY,asset_specific_rolling,RandomForest,rolling_mean_squared_return_66d,0.01702532564602358,2012-12-27
SPY,asset_specific_rolling,RandomForest,squared_return_t,0.014658843702430575,2012-12-27
SPY,asset_specific_rolling,RandomForest,rolling_sum_squared_return_22d,0.014377262128211872,2012-12-27
SPY,asset_specific_rolling,RandomForest,rolling_sum_squared_return_5d,0.010583124159530938,2012-12-27
SPY,asset_specific_rolling,RandomForest,squared_return_lag_10,0.010373441843744722,2012-12-27
SPY,asset_specific_rolling,RandomForest,rolling_sum_squared_return_66d,0.009462400618213776,2012-12-27
SPY,asset_specific_rolling,RandomForest,return_lag_3,0.009350197125722087,2012-12-27
SPY,asset_specific_rolling,RandomForest,rolling_mean_squared_return_22d,0.009116215088720474,2012-12-27
SPY,asset_specific_rolling,RandomForest,abs_return_lag_5,0.008744112455414716,2012-12-27
SPY,asset_specific_rolling,RandomForest,rolling_abs_return_5d,0.007912765583734516,2012-12-27
SPY,asset_specific_rolling,RandomForest,squared_return_lag_3,0.0074226188444949815,2012-12-27
SPY,asset_specific_rolling,RandomForest,abs_return_t,0.007097111668719458,2012-12-27
SPY,asset_specific_rolling,RandomForest,rolling_volatility_5d,0.006724903037147528,2012-12-27
SPY,asset_specific_rolling,RandomForest,return_lag_2,0.0061565674374383875,2012-12-27
SPY,asset_specific_rolling,RandomForest,rolling_volatility_22d,0.006009831362973654,2012-12-27
SPY,asset_specific_rolling,RandomForest,abs_return_lag_2,0.005459467859655289,2012-12-27
SPY,asset_specific_rolling,RandomForest,abs_return_lag_3,0.004932230171767823,2012-12-27
SPY,asset_specific_rolling,RandomForest,return_t,0.004828732215144151,2012-12-27
SPY,asset_specific_rolling,RandomForest,squared_return_lag_5,0.004814435255443952,2012-12-27
SPY,asset_specific_rolling,RandomForest,squared_return_lag_2,0.004638828529337741,2012-12-27
SPY,asset_specific_rolling,RandomForest,rolling_negative_share_5d,0.002102731440187033,2012-12-27
SPY,asset_specific_rolling,RandomForest,negative_squared_return_t,0.0014959784671167895,2012-12-27
SPY,asset_specific_rolling,RandomForest,negative_return_dummy_t,0.0,2012-12-27
SPY,asset_specific_rolling,RandomForest,crisis_dummy,0.0,2012-12-27
SPY,asset_specific_rolling,RandomForest,post_crisis_dummy,0.0,2012-12-27
SPY,asset_specific_rolling,RandomForest,negative_x_crisis,0.0,2012-12-27
SPY,asset_specific_rolling,RandomForest,negative_squared_x_crisis,0.0,2012-12-27
SPY,asset_specific_rolling,GradientBoosting,rolling_downside_squared_return_5d,0.25614985435764315,2012-12-27
SPY,asset_specific_rolling,GradientBoosting,rolling_downside_squared_return_22d,0.10227278812909728,2012-12-27
SPY,asset_specific_rolling,GradientBoosting,return_lag_1,0.10008114314934556,2012-12-27
SPY,asset_specific_rolling,GradientBoosting,rolling_abs_return_22d,0.0878244136193511,2012-12-27
SPY,asset_specific_rolling,GradientBoosting,return_lag_5,0.0813887759581057,2012-12-27
SPY,asset_specific_rolling,GradientBoosting,rolling_negative_share_66d,0.06467275224551693,2012-12-27
SPY,asset_specific_rolling,GradientBoosting,squared_return_t,0.042061782589977226,2012-12-27
SPY,asset_specific_rolling,GradientBoosting,abs_return_t,0.027273222817006372,2012-12-27
SPY,asset_specific_rolling,GradientBoosting,abs_return_lag_1,0.026859533359601735,2012-12-27
SPY,asset_specific_rolling,GradientBoosting,rolling_downside_squared_return_66d,0.02679610106290578,2012-12-27
SPY,asset_specific_rolling,GradientBoosting,return_t,0.02255933226506347,2012-12-27
SPY,asset_specific_rolling,GradientBoosting,return_lag_3,0.020957592462018004,2012-12-27
SPY,asset_specific_rolling,GradientBoosting,abs_return_lag_2,0.019286329516816914,2012-12-27
SPY,asset_specific_rolling,GradientBoosting,squared_return_lag_1,0.014779102572153946,2012-12-27
SPY,asset_specific_rolling,GradientBoosting,squared_return_lag_3,0.013550938117335773,2012-12-27
SPY,asset_specific_rolling,GradientBoosting,abs_return_lag_3,0.01248312916053506,2012-12-27
SPY,asset_specific_rolling,GradientBoosting,rolling_mean_squared_return_66d,0.011375538496598878,2012-12-27
SPY,asset_specific_rolling,GradientBoosting,rolling_volatility_66d,0.009886392195965798,2012-12-27
SPY,asset_specific_rolling,GradientBoosting,rolling_negative_share_22d,0.007752020261761328,2012-12-27
SPY,asset_specific_rolling,GradientBoosting,rolling_volatility_5d,0.007028137421677341,2012-12-27
SPY,asset_specific_rolling,GradientBoosting,rolling_abs_return_66d,0.006718743055361723,2012-12-27
